?SNDlib native format; type: network; version: 1.0
# network geant

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 4month
  time  = 2005
  unit  = MBITPERSEC
  origin  = Steve Uhlig, http://totem.info.ucl.ac.be/dataset.html, scaled directed peak matrix, period:4 month, total demand 3Tbps
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  at1.at ( 16.3729 48.2091 )
  be1.be ( 4.3518 50.8469 )
  ch1.ch ( 6.1399 46.2038 )
  cz1.cz ( 14.4423 50.0785 )
  de1.de ( 8.6842 50.1122 )
  es1.es ( -3.7033 40.4167 )
  fr1.fr ( 2.351 48.8566 )
  gr1.gr ( 23.5808 37.9778 )
  hr1.hr ( 15.9644 45.8071 )
  hu1.hu ( 19.0936 47.4976 )
  ie1.ie ( -6.2573 53.3416 )
  il1.il ( 34.8097 32.0714 )
  it1.it ( 9.19 45.4642 )
  lu1.lu ( 6.1296 49.6112 )
  nl1.nl ( 4.9407 52.3236 )
  ny1.ny ( -73.94384 40.6698 )
  pl1.pl ( 16.8874 52.3963 )
  pt1.pt ( -9.1363 38.7073 )
  se1.se ( 17.8742 59.3617 )
  si1.si ( 14.5148 46.0574 )
  sk1.sk ( 17.1297 48.1531 )
  uk1.uk ( -0.1264 51.5086 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  at1.at_ch1.ch ( at1.at ch1.ch ) 0.00 0.00 0.00 0.00 ( 40000.00 804.00 )
  at1.at_de1.de ( at1.at de1.de ) 0.00 0.00 0.00 0.00 ( 40000.00 598.00 )
  at1.at_hu1.hu ( at1.at hu1.hu ) 0.00 0.00 0.00 0.00 ( 40000.00 218.00 )
  at1.at_ny1.ny ( at1.at ny1.ny ) 0.00 0.00 0.00 0.00 ( 40000.00 6802.00 )
  at1.at_si1.si ( at1.at si1.si ) 0.00 0.00 0.00 0.00 ( 40000.00 277.00 )
  be1.be_fr1.fr ( be1.be fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 264.00 )
  be1.be_lu1.lu ( be1.be lu1.lu ) 0.00 0.00 0.00 0.00 ( 40000.00 186.00 )
  be1.be_nl1.nl ( be1.be nl1.nl ) 0.00 0.00 0.00 0.00 ( 40000.00 169.00 )
  ch1.ch_fr1.fr ( ch1.ch fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 410.00 )
  ch1.ch_it1.it ( ch1.ch it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 250.00 )
  cz1.cz_de1.de ( cz1.cz de1.de ) 0.00 0.00 0.00 0.00 ( 40000.00 411.00 )
  cz1.cz_pl1.pl ( cz1.cz pl1.pl ) 0.00 0.00 0.00 0.00 ( 40000.00 309.00 )
  cz1.cz_sk1.sk ( cz1.cz sk1.sk ) 0.00 0.00 0.00 0.00 ( 40000.00 290.00 )
  de1.de_fr1.fr ( de1.de fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 478.00 )
  de1.de_gr1.gr ( de1.de gr1.gr ) 0.00 0.00 0.00 0.00 ( 40000.00 1794.00 )
  de1.de_ie1.ie ( de1.de ie1.ie ) 0.00 0.00 0.00 0.00 ( 40000.00 1088.00 )
  de1.de_it1.it ( de1.de it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 518.00 )
  de1.de_nl1.nl ( de1.de nl1.nl ) 0.00 0.00 0.00 0.00 ( 40000.00 358.00 )
  de1.de_se1.se ( de1.de se1.se ) 0.00 0.00 0.00 0.00 ( 40000.00 1184.00 )
  es1.es_fr1.fr ( es1.es fr1.fr ) 0.00 0.00 0.00 0.00 ( 40000.00 1054.00 )
  es1.es_it1.it ( es1.es it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 1189.00 )
  es1.es_pt1.pt ( es1.es pt1.pt ) 0.00 0.00 0.00 0.00 ( 40000.00 503.00 )
  fr1.fr_lu1.lu ( fr1.fr lu1.lu ) 0.00 0.00 0.00 0.00 ( 40000.00 287.00 )
  fr1.fr_uk1.uk ( fr1.fr uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 343.00 )
  gr1.gr_it1.it ( gr1.gr it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 1453.00 )
  hr1.hr_hu1.hu ( hr1.hr hu1.hu ) 0.00 0.00 0.00 0.00 ( 40000.00 304.00 )
  hr1.hr_si1.si ( hr1.hr si1.si ) 0.00 0.00 0.00 0.00 ( 40000.00 115.00 )
  hu1.hu_sk1.sk ( hu1.hu sk1.sk ) 0.00 0.00 0.00 0.00 ( 40000.00 163.00 )
  ie1.ie_uk1.uk ( ie1.ie uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 463.00 )
  il1.il_it1.it ( il1.il it1.it ) 0.00 0.00 0.00 0.00 ( 40000.00 2658.00 )
  il1.il_nl1.nl ( il1.il nl1.nl ) 0.00 0.00 0.00 0.00 ( 40000.00 3296.00 )
  nl1.nl_uk1.uk ( nl1.nl uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 359.00 )
  ny1.ny_uk1.uk ( ny1.ny uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 5575.00 )
  pl1.pl_se1.se ( pl1.pl se1.se ) 0.00 0.00 0.00 0.00 ( 40000.00 777.00 )
  pt1.pt_uk1.uk ( pt1.pt uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 1588.00 )
  se1.se_uk1.uk ( se1.se uk1.uk ) 0.00 0.00 0.00 0.00 ( 40000.00 1426.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  hu1.hu_be1.be ( hu1.hu be1.be ) 1 124.00 UNLIMITED
  ie1.ie_si1.si ( ie1.ie si1.si ) 1 65.00 UNLIMITED
  ny1.ny_pl1.pl ( ny1.ny pl1.pl ) 1 504.00 UNLIMITED
  ch1.ch_il1.il ( ch1.ch il1.il ) 1 1937.00 UNLIMITED
  ny1.ny_sk1.sk ( ny1.ny sk1.sk ) 1 336.00 UNLIMITED
  pl1.pl_fr1.fr ( pl1.pl fr1.fr ) 1 2041.00 UNLIMITED
  lu1.lu_be1.be ( lu1.lu be1.be ) 1 27.00 UNLIMITED
  ny1.ny_de1.de ( ny1.ny de1.de ) 1 35420.00 UNLIMITED
  be1.be_hu1.hu ( be1.be hu1.hu ) 1 1781.00 UNLIMITED
  uk1.uk_cz1.cz ( uk1.uk cz1.cz ) 1 421.00 UNLIMITED
  hr1.hr_at1.at ( hr1.hr at1.at ) 1 6304.00 UNLIMITED
  at1.at_ie1.ie ( at1.at ie1.ie ) 1 66.00 UNLIMITED
  pl1.pl_at1.at ( pl1.pl at1.at ) 1 59.00 UNLIMITED
  es1.es_ch1.ch ( es1.es ch1.ch ) 1 3277.00 UNLIMITED
  nl1.nl_de1.de ( nl1.nl de1.de ) 1 21941.00 UNLIMITED
  fr1.fr_ie1.ie ( fr1.fr ie1.ie ) 1 435.00 UNLIMITED
  ny1.ny_hr1.hr ( ny1.ny hr1.hr ) 1 836.00 UNLIMITED
  si1.si_pt1.pt ( si1.si pt1.pt ) 1 52.00 UNLIMITED
  de1.de_ch1.ch ( de1.de ch1.ch ) 1 990.00 UNLIMITED
  lu1.lu_gr1.gr ( lu1.lu gr1.gr ) 1 7.00 UNLIMITED
  hr1.hr_gr1.gr ( hr1.hr gr1.gr ) 1 109.00 UNLIMITED
  uk1.uk_ie1.ie ( uk1.uk ie1.ie ) 1 10.00 UNLIMITED
  at1.at_si1.si ( at1.at si1.si ) 1 42759.00 UNLIMITED
  uk1.uk_gr1.gr ( uk1.uk gr1.gr ) 1 161.00 UNLIMITED
  pl1.pl_si1.si ( pl1.pl si1.si ) 1 1333.00 UNLIMITED
  it1.it_si1.si ( it1.it si1.si ) 1 1027.00 UNLIMITED
  ch1.ch_ie1.ie ( ch1.ch ie1.ie ) 1 273.00 UNLIMITED
  lu1.lu_uk1.uk ( lu1.lu uk1.uk ) 1 3151.00 UNLIMITED
  es1.es_pl1.pl ( es1.es pl1.pl ) 1 240.00 UNLIMITED
  hr1.hr_nl1.nl ( hr1.hr nl1.nl ) 1 292.00 UNLIMITED
  ie1.ie_es1.es ( ie1.ie es1.es ) 1 950.00 UNLIMITED
  be1.be_de1.de ( be1.be de1.de ) 1 35565.00 UNLIMITED
  uk1.uk_lu1.lu ( uk1.uk lu1.lu ) 1 2823.00 UNLIMITED
  ie1.ie_ch1.ch ( ie1.ie ch1.ch ) 1 403.00 UNLIMITED
  sk1.sk_pl1.pl ( sk1.sk pl1.pl ) 1 5.00 UNLIMITED
  se1.se_sk1.sk ( se1.se sk1.sk ) 1 270.00 UNLIMITED
  lu1.lu_pt1.pt ( lu1.lu pt1.pt ) 1 23.00 UNLIMITED
  gr1.gr_ie1.ie ( gr1.gr ie1.ie ) 1 78.00 UNLIMITED
  be1.be_il1.il ( be1.be il1.il ) 1 639.00 UNLIMITED
  il1.il_it1.it ( il1.il it1.it ) 1 902.00 UNLIMITED
  ny1.ny_it1.it ( ny1.ny it1.it ) 1 2164.00 UNLIMITED
  it1.it_gr1.gr ( it1.it gr1.gr ) 1 3046.00 UNLIMITED
  ny1.ny_ie1.ie ( ny1.ny ie1.ie ) 1 136.00 UNLIMITED
  gr1.gr_sk1.sk ( gr1.gr sk1.sk ) 1 239.00 UNLIMITED
  uk1.uk_it1.it ( uk1.uk it1.it ) 1 586.00 UNLIMITED
  lu1.lu_il1.il ( lu1.lu il1.il ) 1 13.00 UNLIMITED
  fr1.fr_be1.be ( fr1.fr be1.be ) 1 2309.00 UNLIMITED
  uk1.uk_at1.at ( uk1.uk at1.at ) 1 165.00 UNLIMITED
  de1.de_si1.si ( de1.de si1.si ) 1 15336.00 UNLIMITED
  ny1.ny_uk1.uk ( ny1.ny uk1.uk ) 1 14310.00 UNLIMITED
  be1.be_ny1.ny ( be1.be ny1.ny ) 1 117644.00 UNLIMITED
  nl1.nl_hr1.hr ( nl1.nl hr1.hr ) 1 1056.00 UNLIMITED
  si1.si_hu1.hu ( si1.si hu1.hu ) 1 4941.00 UNLIMITED
  pt1.pt_si1.si ( pt1.pt si1.si ) 1 41.00 UNLIMITED
  cz1.cz_il1.il ( cz1.cz il1.il ) 1 245.00 UNLIMITED
  il1.il_sk1.sk ( il1.il sk1.sk ) 1 24.00 UNLIMITED
  gr1.gr_es1.es ( gr1.gr es1.es ) 1 111.00 UNLIMITED
  se1.se_lu1.lu ( se1.se lu1.lu ) 1 201.00 UNLIMITED
  si1.si_il1.il ( si1.si il1.il ) 1 16.00 UNLIMITED
  se1.se_it1.it ( se1.se it1.it ) 1 449.00 UNLIMITED
  hu1.hu_ch1.ch ( hu1.hu ch1.ch ) 1 389.00 UNLIMITED
  gr1.gr_pt1.pt ( gr1.gr pt1.pt ) 1 58.00 UNLIMITED
  at1.at_ny1.ny ( at1.at ny1.ny ) 1 514.00 UNLIMITED
  ie1.ie_hu1.hu ( ie1.ie hu1.hu ) 1 689.00 UNLIMITED
  de1.de_at1.at ( de1.de at1.at ) 1 1741.00 UNLIMITED
  gr1.gr_ch1.ch ( gr1.gr ch1.ch ) 1 549.00 UNLIMITED
  se1.se_ie1.ie ( se1.se ie1.ie ) 1 231.00 UNLIMITED
  de1.de_be1.be ( de1.de be1.be ) 1 685.00 UNLIMITED
  gr1.gr_be1.be ( gr1.gr be1.be ) 1 208.00 UNLIMITED
  ie1.ie_pl1.pl ( ie1.ie pl1.pl ) 1 1801.00 UNLIMITED
  gr1.gr_nl1.nl ( gr1.gr nl1.nl ) 1 287.00 UNLIMITED
  si1.si_ch1.ch ( si1.si ch1.ch ) 1 634.00 UNLIMITED
  il1.il_fr1.fr ( il1.il fr1.fr ) 1 110.00 UNLIMITED
  hr1.hr_ie1.ie ( hr1.hr ie1.ie ) 1 83.00 UNLIMITED
  hu1.hu_se1.se ( hu1.hu se1.se ) 1 4067.00 UNLIMITED
  fr1.fr_pl1.pl ( fr1.fr pl1.pl ) 1 1298.00 UNLIMITED
  gr1.gr_ny1.ny ( gr1.gr ny1.ny ) 1 149.00 UNLIMITED
  pl1.pl_hr1.hr ( pl1.pl hr1.hr ) 1 3325.00 UNLIMITED
  se1.se_hr1.hr ( se1.se hr1.hr ) 1 568.00 UNLIMITED
  ie1.ie_de1.de ( ie1.ie de1.de ) 1 44044.00 UNLIMITED
  hr1.hr_pt1.pt ( hr1.hr pt1.pt ) 1 46.00 UNLIMITED
  it1.it_lu1.lu ( it1.it lu1.lu ) 1 29.00 UNLIMITED
  nl1.nl_fr1.fr ( nl1.nl fr1.fr ) 1 2834.00 UNLIMITED
  it1.it_de1.de ( it1.it de1.de ) 1 11963.00 UNLIMITED
  gr1.gr_si1.si ( gr1.gr si1.si ) 1 202.00 UNLIMITED
  il1.il_se1.se ( il1.il se1.se ) 1 1069.00 UNLIMITED
  nl1.nl_pl1.pl ( nl1.nl pl1.pl ) 1 1913.00 UNLIMITED
  at1.at_es1.es ( at1.at es1.es ) 1 1258.00 UNLIMITED
  es1.es_ie1.ie ( es1.es ie1.ie ) 1 81.00 UNLIMITED
  pl1.pl_sk1.sk ( pl1.pl sk1.sk ) 1 25.00 UNLIMITED
  it1.it_hr1.hr ( it1.it hr1.hr ) 1 177.00 UNLIMITED
  sk1.sk_ie1.ie ( sk1.sk ie1.ie ) 1 63.00 UNLIMITED
  ch1.ch_se1.se ( ch1.ch se1.se ) 1 95143.00 UNLIMITED
  se1.se_pt1.pt ( se1.se pt1.pt ) 1 5993.00 UNLIMITED
  pt1.pt_at1.at ( pt1.pt at1.at ) 1 55.00 UNLIMITED
  at1.at_lu1.lu ( at1.at lu1.lu ) 1 71.00 UNLIMITED
  at1.at_de1.de ( at1.at de1.de ) 1 13150.00 UNLIMITED
  uk1.uk_hu1.hu ( uk1.uk hu1.hu ) 1 234.00 UNLIMITED
  it1.it_il1.il ( it1.it il1.il ) 1 642.00 UNLIMITED
  be1.be_nl1.nl ( be1.be nl1.nl ) 1 40325.00 UNLIMITED
  uk1.uk_ch1.ch ( uk1.uk ch1.ch ) 1 1818.00 UNLIMITED
  ch1.ch_pl1.pl ( ch1.ch pl1.pl ) 1 20071.00 UNLIMITED
  se1.se_ny1.ny ( se1.se ny1.ny ) 1 1984.00 UNLIMITED
  at1.at_il1.il ( at1.at il1.il ) 1 788.00 UNLIMITED
  hr1.hr_hu1.hu ( hr1.hr hu1.hu ) 1 14153.00 UNLIMITED
  at1.at_fr1.fr ( at1.at fr1.fr ) 1 247.00 UNLIMITED
  hu1.hu_uk1.uk ( hu1.hu uk1.uk ) 1 1543.00 UNLIMITED
  lu1.lu_de1.de ( lu1.lu de1.de ) 1 14569.00 UNLIMITED
  gr1.gr_hu1.hu ( gr1.gr hu1.hu ) 1 1894.00 UNLIMITED
  it1.it_ch1.ch ( it1.it ch1.ch ) 1 5358.00 UNLIMITED
  hu1.hu_at1.at ( hu1.hu at1.at ) 1 4291.00 UNLIMITED
  lu1.lu_hr1.hr ( lu1.lu hr1.hr ) 1 5.00 UNLIMITED
  be1.be_fr1.fr ( be1.be fr1.fr ) 1 115637.00 UNLIMITED
  ch1.ch_lu1.lu ( ch1.ch lu1.lu ) 1 217.00 UNLIMITED
  it1.it_sk1.sk ( it1.it sk1.sk ) 1 1330.00 UNLIMITED
  fr1.fr_it1.it ( fr1.fr it1.it ) 1 2316.00 UNLIMITED
  it1.it_ny1.ny ( it1.it ny1.ny ) 1 12432.00 UNLIMITED
  uk1.uk_ny1.ny ( uk1.uk ny1.ny ) 1 2176.00 UNLIMITED
  hu1.hu_lu1.lu ( hu1.hu lu1.lu ) 1 16.00 UNLIMITED
  pt1.pt_fr1.fr ( pt1.pt fr1.fr ) 1 99.00 UNLIMITED
  ch1.ch_at1.at ( ch1.ch at1.at ) 1 87337.00 UNLIMITED
  fr1.fr_cz1.cz ( fr1.fr cz1.cz ) 1 2270.00 UNLIMITED
  ny1.ny_es1.es ( ny1.ny es1.es ) 1 1581.00 UNLIMITED
  se1.se_be1.be ( se1.se be1.be ) 1 504.00 UNLIMITED
  hu1.hu_fr1.fr ( hu1.hu fr1.fr ) 1 147.00 UNLIMITED
  si1.si_ny1.ny ( si1.si ny1.ny ) 1 149.00 UNLIMITED
